etat,marque,processeur,ram,stockage,prix
Venant,Dell,i7,16,256gb,420 000 F Cfa
Venant,Apple,cor i7,8Go,500 Go,150 000 F Cfa
Venant,Lenovo,Core i5,8 Go,500 Go,115 000 F Cfa
Neuf,HP,,,,165 000 F Cfa
Neuf,Lenovo,Dual core,4Go,128 SSD,100 000 F Cfa
Venant,Microsoft Surface,I7,16,512,420 000 F Cfa
Neuf,ASUS,,,,430 000 F Cfa
Venant,Apple,Core i7,16,512,725 000 F Cfa
Venant,Dell,i7,16,1000,230 000 F Cfa
Venant,HP,i7,8Go,500 Go,140 000 F Cfa
Venant,Apple,Core i7,16Go,256Go,380 000 F Cfa
Neuf,Dell,corei5,16,256,275 000 F Cfa
Venant,HP,i7,16,512gb,570 000 F Cfa
D'occasion,Acer,I3,8,256,230 000 F Cfa
Neuf,HP,,,,12 000 F Cfa
Venant,Lenovo,Core i5,16Go,256Go,350 000 F Cfa
Neuf,Dell,i7-10750H,32 Go,1TB,950 000 F Cfa
Venant,Toshiba,Core i5,8 Gb,256Gb (SSD),160 000 F Cfa
Neuf,Apple,Core i9,64 Go,512 Go,950 000 F Cfa
Venant,HP,i5,16,512,300 000 F Cfa
Venant,Dell,I7,16,256,370 000 F Cfa
Venant,HP,Core i7,64Go,512Go,400 000 F Cfa
Neuf,HP,I7,8,256,390 000 F Cfa
Neuf,Dell,,,,250 000 F Cfa
Neuf,Dell,i7,16gb,512GB,470 000 F Cfa
Neuf,Lenovo,i7,8,512gb,550 000 F Cfa
Neuf,HP,,,,150 000 F Cfa
Venant,Dell,Core i7,16Go,512Go,320 000 F Cfa
Venant,Apple,i5,8 G,256,430 000 F Cfa
Neuf,Lenovo,I7,16,512,570 000 F Cfa
Neuf,HP,i5 10th,12Go,512 Go SSD,470 000 F Cfa
Venant,Dell,i7,16,512,500 000 F Cfa
Venant,Lenovo,i7 ✅,32 GO ✅,500 GO SSD ✅,550 000 F Cfa
Venant,Lenovo,i7.8th ✅,16 GO ✅,256 GO SSD ✅,330 000 F Cfa
Venant,HP,CORE i5 ✅,8 GO ✅,256 GO SSD ✅,250 000 F Cfa
Venant,Dell,Intel celeron,4 Go,500 Go,100 000 F Cfa
Neuf,HP,core i5 10th,4Go,1 To,550 000 F Cfa
Venant,HP,Intel Xeon E5-1620 V4 | 3.50Ghz,16 Go,1Tera,250 000 F Cfa
Venant,Apple,M1,8,256,600 000 F Cfa
Neuf,MSI,,16 Go,,650 000 F Cfa
Neuf,ASUS,Ryzen 9-5900HX,16 Go,SSD 1TB,850 000 F Cfa
Venant,HP,i5 ✅,16 GO ✅,256 GO SSD ✅,250 000 F Cfa
Venant,Lenovo,Core i3 ✅,8 GO ✅,256 GO SSD ✅,165 000 F Cfa
Neuf,Dell,Core i7 11th Gen,16Gb,512 ssd,650 000 F Cfa
D'occasion,Dell,INTEL XEON,16 Go,1 TERA,250 000 F Cfa
Neuf,Lenovo,i7,16go,512go,390 000 F Cfa
Venant,ASUS,i7,16,256 et 1000,300 000 F Cfa
Neuf,HP,CORE I5,8 GO,1 TERA,399 000 F Cfa
Venant,Apple,m ✅,8 GO ✅,256 GO SSD ✅,300 000 F Cfa
Neuf,Lenovo,Noir,8,512Go ssd,410 000 F Cfa
Venant,ASUS,Core i7,16 Go,512 Go,690 000 F Cfa
Venant,Dell,I7,8,512,320 000 F Cfa
Neuf,Apple,CORE i7 ✅,32 GO ✅,1000 GO SSD ✅,950 000 F Cfa
Venant,Lenovo,Core i7,16Go,512Go,340 000 F Cfa
Venant,ASUS,CORE i3 ✅,4 GO ✅,256 GO SSD ✅,150 000 F Cfa
Venant,Lenovo,I7,20,256,215 000 F Cfa
Neuf,HP,2.1,16,,2 500 000 F Cfa
Neuf,HP,core i3 11th,4Go,1 To,510 000 F Cfa
Venant,Lenovo,i7,16,512,375 000 F Cfa
