etat,marque,processeur,ram,stockage,prix
Venant,Apple,Core i5,8Go,128Go,300 000 F Cfa
Venant,HP,i7 ✅,16 GO ✅,500 GO SSD ✅,260 000 F Cfa
Venant,HP,Duo,4 Go ✅,500 Go ✅,100 000 F Cfa
Venant,Dell,i5,8,256,160 000 F Cfa
Neuf,Dell,Core i5,8go,256go,320 000 F Cfa
Venant,Dell,CORE I7,8,500,120 000 F Cfa
Venant,Dell,"Intel Core i5-4790S 3,2 GHz",16 GB,1000 SSD,350 000 F Cfa
Neuf,Lenovo,Rizen 7 série 500,16,512 Gigas SSD,450 000 F Cfa
Venant,Dell,CORE i5 ✅,8 GO ✅,256 GO SSD ✅,200 000 F Cfa
Venant,HP,i5,8 Go,500 Go,200 000 F Cfa
Venant,HP,cor i7,8 Go,256 Go SSD,225 000 F Cfa
Neuf,Apple,M2,8,256,650 000 F Cfa
Venant,HP,I5,8,256,300 000 F Cfa
Neuf,Lenovo,Core i7,16Go,512Go,380 000 F Cfa
Venant,Dell,i5,8,320 go hdd,110 000 F Cfa
Neuf,Lenovo,I7,16,512,285 000 F Cfa
Neuf,HP,Intel Xeon E-2314,16GB,1TERA,930 000 F Cfa
Neuf,Dell,i7,16gb,512gb,650 000 F Cfa
Neuf,HP,I5 13eme Generation,16GB option 32GB,SSD 512GO OPTION 1 TERA,690 000 F Cfa
Venant,Apple,M1 MAX,32GB,1TB,1 250 000 F Cfa
Venant,MSI,I5 10eme,16giga,512giga Ssd,680 000 F Cfa
Neuf,Dell,Core i7 11th,64go,2to,850 000 F Cfa
Neuf,Apple,I7,16,512,550 000 F Cfa
Neuf,HP,I7,16,512,425 000 F Cfa
Neuf,Lenovo,I5,16,512,325 000 F Cfa
Neuf,Acer,i7-11370H,16 Go,SSD 1TB,850 000 F Cfa
Venant,Apple,M1,8,256,450 000 F Cfa
Neuf,HP,Core i7,16Go,512Go,600 000 F Cfa
Neuf,Lenovo,I7,16 go,512 ssd,400 000 F Cfa
Neuf,Lenovo,Intel cor i9,32g,1 Terra SSD,650 000 F Cfa
Neuf,Apple,Core i5,8go,128go,320 000 F Cfa
Neuf,HP,i5,16,512,450 000 F Cfa
Venant,Lenovo,i7,16,512,330 000 F Cfa
D'occasion,HP,M3 7th Gen,8,256 SSD,95 000 F Cfa
Venant,ASUS,I7,16 go,512 ssd,650 000 F Cfa
Venant,Lenovo,cor i5,16 Go,500 Go,200 000 F Cfa
Neuf,Acer,2.42Ghz,16go,500ssd,400 000 F Cfa
Neuf,Acer,i9-13900HX,16GB DDR5 (5600MHz),SSD 1TB,1 350 000 F Cfa
Venant,Lenovo,Core i5,8Go,256Go,160 000 F Cfa
Neuf,Apple,M2,16,512,999 000 F Cfa
Neuf,ASUS,I7-11Th,16 go,512 ssd,500 000 F Cfa
Neuf,HP,CORE I3,4 GO,500 GO,150 000 F Cfa
Neuf,Lenovo,I7,16,512,750 000 F Cfa
Venant,Dell,I7,16,512,390 000 F Cfa
Neuf,Autre,,,,100 000 F Cfa
Neuf,Autre,,,128,135 000 F Cfa
Neuf,HP,i7-10750H,32 Go,SSD 1TB,850 000 F Cfa
Venant,Autre,Intel core i7,16GB DDR4,512GB SSD,425 000 F Cfa
Neuf,Lenovo,Core i5 8th génération,8 Go,256 Go SSD,280 000 F Cfa
Neuf,Lenovo,,,,650 000 F Cfa
Venant,Apple,,,,600 000 F Cfa
Neuf,HP,intel core i5,16 go,512go,480 000 F Cfa
Neuf,Lenovo,core i5 12th Gen,16GB,512 ssd,480 000 F Cfa
Neuf,HP,Core i7 11th gen,16Gb,512 ssd,600 000 F Cfa
Neuf,MSI,Core i7,24GB,1To,585 000 F Cfa
Venant,ASUS,,16GB,512 Go,550 000 F Cfa
Venant,Lenovo,I7,32,2000,385 000 F Cfa
Neuf,Acer,i5-11400H,8go,256ssd,600 000 F Cfa
Venant,Dell,I5-12th Gen,32,512,430 000 F Cfa
Neuf,HP,I5 11th,16,256,420 000 F Cfa
Neuf,HP,I5 11th Gen,8,512,390 000 F Cfa
Venant,Samsung,I5 12th gen,8,512,450 000 F Cfa
Venant,Lenovo,I7 8550,16,256 GB,299 000 F Cfa
Venant,Apple,ICOR 5,16G,256 SSD,224 999 F Cfa
Venant,HP,ICOR 5 1.90 GHZ,16G,512SSD,200 000 F Cfa
Venant,Lenovo,1.90 GHz,16G,512 SSD,160 002 F Cfa
Venant,Apple,ICOR 7,16G,512 SSD,300 000 F Cfa
Venant,HP,AMD A10,4G,500G,80 000 F Cfa
Venant,Apple,Core i9,32Go,500Go SSD,600 000 F Cfa
Neuf,Apple,Core i5,8go,256go,490 000 F Cfa
Venant,HP,,8go,,150 000 F Cfa
Venant,HP,,256go,,200 000 F Cfa
Neuf,Autre,i7 8eme Generation,16Go,SSD 512Go,450 000 F Cfa
Venant,Microsoft Surface,i5,8gb,256gb,420 000 F Cfa
Venant,Apple,I7,16,256,400 000 F Cfa
Neuf,Apple,M1,8,256,400 000 F Cfa
Neuf,Dell,I7,16,512,750 000 F Cfa
Venant,Apple,i7,16,1000,525 000 F Cfa
Venant,Lenovo,I5 2.6ghz,16go,512go,400 000 F Cfa
Neuf,Dell,Ryzen 5 Pro 12 Processeurs,8go,256Go,250 000 F Cfa
Venant,Lenovo,i 8th,16,256 go ssd,220 000 F Cfa
Venant,Lenovo,Core i5 12é génération,8Go,512Go SSD,290 000 F Cfa
Venant,Lenovo,Core i7,12Go,1256Go,270 000 F Cfa
Venant,Dell,,8,SSD M2 128GB,125 000 F Cfa
Venant,Lenovo,3.20,16,256,285 000 F Cfa
Neuf,Lenovo,I7,16GB,1TB,460 000 F Cfa
Neuf,Dell,i7,32GB,1TB,950 000 F Cfa
Neuf,HP,Core i7 12th gen,16gb,512 ssd,700 000 F Cfa
Réconditionné,Lenovo,CORE I7,16GO,512SSD,300 000 F Cfa
Venant,Lenovo,I7,16,512,600 000 F Cfa
Réconditionné,HP,CORE I7,16GO,512 SSD,300 000 F Cfa
Neuf,Apple,,8,512,600 000 F Cfa
Venant,Apple,M1,8,512GB,595 000 F Cfa
Neuf,Dell,i5 11eme Generation 3.0Ghz,32Go,512Go SSD,350 000 F Cfa
Neuf,Microsoft Surface,SQ2,16,512,850 000 F Cfa
Neuf,HP,Core i5 13th gen,16gb,512 ssd,650 000 F Cfa
Neuf,Lenovo,i7 10ème Génération,32Go DDR4 (extensible à 64Go),SSD 1To (2nd slot libre),475 000 F Cfa
Neuf,Apple,M2,8go,256ssd,750 000 F Cfa
Neuf,Razer blade,i7,16gb,512gb,550 000 F Cfa
Venant,Microsoft Surface,i7,8,256,360 000 F Cfa
Neuf,HP,M3,8,256,115 000 F Cfa
Neuf,Lenovo,I5,16,512,285 000 F Cfa
Neuf,Apple,M1,16,512,500 000 F Cfa
Venant,Apple,I7,16,512,375 000 F Cfa
Venant,HP,CORE I5,8,500,110 000 F Cfa
Neuf,HP,i7,32GB,1TB,999 000 F Cfa
Neuf,HP,Corei5,8,256giga ssd,220 000 F Cfa
Neuf,HP,Corei7,16,512ssd,285 000 F Cfa
Neuf,Apple,M2,8Go,256 SSD,700 000 F Cfa
Neuf,HP,Corei5,8,256ssd,220 000 F Cfa
Neuf,HP,Corei5,8,256,200 000 F Cfa
Neuf,HP,Corei7,16,512,350 000 F Cfa
Venant,Apple,i5,8,128,350 000 F Cfa
Venant,HP,Intel Core i5 (4 CPUs) 2.5GHz,8 GB,256GB SSD,180 000 F Cfa
Neuf,Apple,i9,32Go,SSD 512Go,600 000 F Cfa
Neuf,Apple,M2,8,256,949 000 F Cfa
Venant,HP,AMD Ryzen 7 PRO 4750U with Radeon Graphics,16GB,512GB SSD,450 000 F Cfa
Neuf,Acer,Core i7-11800H 3.20Ghz,16 Go,1 To SSD m2,820 000 F Cfa
Venant,Acer,Core i7,8Go,512Go,350 000 F Cfa
Venant,Dell,Core i5,8 Go,256 Go ssd,165 000 F Cfa
Venant,HP,,,,45 000 F Cfa
Venant,Dell,,,,145 000 F Cfa
Neuf,Dell,Quad core,8Go,128 SSD,105 000 F Cfa
Neuf,Apple,i9 6coeurs,32Go,SSD 512Go,600 000 F Cfa
Venant,Lenovo,Intel Core i5 - 10ème génération,16GB,256GB SSD,380 000 F Cfa
Neuf,HP,,,,155 000 F Cfa
Neuf,HP,,,,175 000 F Cfa
Neuf,Apple,Corei7,8,256,475 000 F Cfa
Venant,HP,Intel Core m7 _ 6Y75 CPU,8 GB,256GB SSD,250 000 F Cfa
Venant,HP,Intel Core i7 - 10ème génération,16GB,512GB SSD,549 997 F Cfa
Venant,,,,,83 000 F Cfa
Neuf,Apple,,8GB,256GB,499 900 F Cfa
Venant,Apple,M2,8,256,650 000 F Cfa
Venant,Apple,M1,16,512,680 000 F Cfa
Venant,ASUS,Core i5,8,512,375 000 F Cfa
Venant,Apple,I9,16,512,650 000 F Cfa
Venant,MSI,I7,32,512+1tb,550 000 F Cfa
Venant,HP,Core i5,8Go,256Go,160 000 F Cfa
Neuf,MSI,I7 12eme Generation,16GB DDR5,1Tera SSD,950 000 F Cfa
Venant,HP,Intel Core i5 - 8ème génération,16GB,512GB SSD,380 000 F Cfa
Venant,HP,Intel Core i5 - 8ème génération,8 GB,512GB SSD,280 000 F Cfa
Neuf,Lenovo,Core i5,8go,256go,190 000 F Cfa
Neuf,ASUS,i7,16,512,350 000 F Cfa
Venant,HP,Core I5,16Gb,256 Ssd,250 000 F Cfa
Venant,Lenovo,I7,32,2000,475 000 F Cfa
Neuf,Apple,Core i7,32Go DDR4,1To SSD,599 000 F Cfa
Venant,Apple,Core i5,8go,512ssd,450 000 F Cfa
Venant,HP,2.9ghz,32go,1000go,500 000 F Cfa
D'occasion,HP,"2,6ghz",2GO,160GO,35 000 F Cfa
D'occasion,Acer,3Ghz,4 Go,500 Go,55 000 F Cfa
D'occasion,HP,"3,40 GHZ",8,500,90 000 F Cfa
D'occasion,HP,2.6 Ghz,4 go,250 go,40 000 F Cfa
Venant,HP,Core i5 6é génération,8Go,128Go ssd ou 500Go HDD,130 000 F Cfa
Venant,Lenovo,Core i5 13é Génération,16Go DDR5,512Go SSD,450 000 F Cfa
Neuf,Lenovo,RYZEN 7-7745H,32 Go DDR5 (4800MHz),SSD 1TB,1 350 000 F Cfa
Venant,HP,I5,8,256,270 000 F Cfa
Neuf,Dell,I5,8,256,290 000 F Cfa
Venant,Dell,i5,8 Go,500 Go,185 000 F Cfa
Neuf,Dell,I7,16GB,512GB,450 000 F Cfa
Venant,ASUS,Core i5,6g,500g,100 000 F Cfa
Venant,Lenovo,I5,4,1terre,45 000 F Cfa
Venant,HP,Core 2,4,,25 000 F Cfa
Venant,HP,I5,4,1terra,45 000 F Cfa
Venant,HP,,,,25 000 F Cfa
Venant,Lenovo,,4,128,55 000 F Cfa
Neuf,Lenovo,,4,256,275 000 F Cfa
Neuf,HP,I3-1005G1,8,500,395 000 F Cfa
Neuf,Dell,I7,16,512,450 000 F Cfa
Venant,Dell,Cor i5,16 Go,256SSD,250 000 F Cfa
Neuf,HP,Core i7,32 Go DDR4,512Go SSD,800 000 F Cfa
Venant,HP,Intel Core i7_10TH GEN,16GB,512GB SSD,430 000 F Cfa
Venant,HP,Intel core i5,8 giga,256 Go ssd,215 000 F Cfa
Venant,Apple,i7,16 Go,512 Go,1 550 000 F Cfa
Venant,HP,i3,,,200 000 F Cfa
Neuf,Microsoft Surface,Intel core i5,8 Gb,256 Gb,250 000 F Cfa
Neuf,Apple,M2,16Go,256 SSD,850 000 F Cfa
Neuf,ASUS,Core i7,32 Go,SSD 1TB,850 000 F Cfa
Venant,ASUS,1.10Ghz,4go,64go,100 000 F Cfa
Venant,Apple,M1 PRO,16GB,512GB,860 000 F Cfa
Neuf,Apple,M3 PRO,18GB,512GB,1 450 000 F Cfa
Venant,Apple,Apple M2 Pro,16Go,512Go SSD,1 050 000 F Cfa
Venant,Lenovo,core i5 8th,16,512,180 000 F Cfa
Venant,Lenovo,I7 2.7ghz,16go,1000go (1tb),450 000 F Cfa
Neuf,HP,,,,350 000 F Cfa
Neuf,Lenovo,,,,550 000 F Cfa
Réconditionné,HP,CORE I5,8GO,256SSD,140 000 F Cfa
D'occasion,HP,i5,16,256,310 000 F Cfa
Neuf,Apple,COREI7,16,2017,550 000 F Cfa
Neuf,HP,I7,32,512,390 000 F Cfa
Neuf,Dell,i7,16Go,512 SSD,600 000 F Cfa
Venant,Apple,Core i5,8 Go,500 Go,150 000 F Cfa
Neuf,Apple,i9,32Go,512 SSD,650 000 F Cfa
Venant,Dell,I7 10eme Generation,16GB DDR4 option 32GB,SSD 512GO,650 000 F Cfa
Venant,Apple,2.2 Ghz core i7,8 Go,256 Go SSD,210 000 F Cfa
Venant,HP,I7,16,512,175 000 F Cfa
Venant,Apple,I7,16,512,460 000 F Cfa
Venant,HP,Core i5,8Go DDR4,SSD 256Go (extensible à 512Go),245 000 F Cfa
Venant,Lenovo,Intel,8gb,256gb,175 000 F Cfa
Venant,Lenovo,I7,32,512,230 000 F Cfa
Venant,Lenovo,I5,8,256,145 000 F Cfa
Venant,Apple,I7,512,16,275 000 F Cfa
Venant,Apple,I7,16,512,450 000 F Cfa
Neuf,HP,i7 10th,12,1 to HDD,520 000 F Cfa
Venant,HP,2.60,8,500,150 000 F Cfa
Neuf,ASUS,i7,32,1000,750 000 F Cfa
Neuf,Apple,M2,8,256,750 000 F Cfa
Venant,Lenovo,I5,8,256,145 000 F Cfa
Venant,Lenovo,I5,8,256,145 000 F Cfa
Venant,HP,I5,8,500,125 000 F Cfa
Neuf,Acer,core I7 13700H,16Go,1To,1 025 000 F Cfa
Venant,HP,Intel core i5,8 go,500 go,90 000 F Cfa
Venant,HP,Intel Xeon 3.3 GHz,16 go,1To,275 000 F Cfa
Neuf,HP,i5,8,256,145 000 F Cfa
Neuf,HP,Corei7,32Giga,512Giga Ssd,500 000 F Cfa
Neuf,HP,Corei5,8,256,200 000 F Cfa
Venant,Apple,,8 go,128 ssd,400 000 F Cfa
Venant,Apple,M2,8Go,256Go de SSD,650 000 F Cfa
Venant,Dell,I7 6eme,32 go,SSD 512,390 000 F Cfa
Neuf,,,,,170 000 F Cfa
Venant,Autre,,,,25 000 F Cfa
Venant,Apple,i5,8,256,365 000 F Cfa
Venant,Apple,i5,8,256,290 000 F Cfa
Neuf,Lenovo,Core i5 12th Gen,16GB,256 Go,450 000 F Cfa
Venant,Apple,Core i5,8Go,120Go SSD,190 000 F Cfa
Venant,Apple,Core i5,8Go,250Go SSD,190 000 F Cfa
Venant,HP,i5,16 Go,500 Go,125 000 F Cfa
Venant,Lenovo,i5,8 Go,256 Go ssd,250 000 F Cfa
Venant,Dell,,,,
Neuf,HP,Corei7,16,512Giga Ssd,325 000 F Cfa
Venant,Lenovo,I5,8,128,
Venant,ASUS,I7,16,256,
Venant,Lenovo,I7,16,256,
Venant,Lenovo,Ryzen 7,16GB,256,
Neuf,HP,CoreM3,8,128Giga ssd,90 000 F Cfa
Neuf,MSI,Core i7-10875H 2.20ghz,16 Go,1 To SSD m2,620 000 F Cfa
Venant,Dell,Core i7 8th gen,8,,199 000 F Cfa
Venant,Lenovo,I7,32,1to,350 000 F Cfa
Venant,Dell,I7,16,512,
Neuf,Apple,M3,8,512,1 450 000 F Cfa
Venant,Apple,Core i7,8Go,256Go SSD,175 000 F Cfa
Venant,HP,Intel celeron,2,160,60 000 F Cfa
Neuf,ASUS,Core i3,8,256,310 000 F Cfa
Neuf,ASUS,Core i5,8,256,375 000 F Cfa
Neuf,HP,,,256 SSD/ 500 Go,
Neuf,Apple,,8,256,450 000 F Cfa
Venant,Dell,I5 12300u jusqu’à 4.40ghz,16go,512go,400 000 F Cfa
Venant,HP,2.4GHZ,16GO,512go,349 997 F Cfa
Venant,Dell,2.5,16go,512go.,450 000 F Cfa
Neuf,HP,Core i7,,1tera,675 000 F Cfa
Venant,HP,i3,8,1000,130 000 F Cfa
Venant,HP,Cor i7,16 Go,500 Go,150 000 F Cfa
D'occasion,HP,Intel Core i5,16 Go,1 To,95 000 F Cfa
Neuf,Compaq,i7-12800H,64 Go,2 To SSD,750 000 F Cfa
Neuf,HP,Corei7,16,512ssd,850 000 F Cfa
Neuf,HP,Intel Silver,8,256Giga ssd,130 000 F Cfa
Neuf,HP,Corei5,8,256ssd,200 000 F Cfa
Neuf,Apple,16 inch,48,1 tera,2 900 000 F Cfa
Venant,HP,core i7,16GB,512 ssd,380 000 F Cfa
Venant,Lenovo,Intel core i5,8,256,155 000 F Cfa
Venant,HP,Amd a10,8,256,145 000 F Cfa
D'occasion,Apple,,,,575 000 F Cfa
Venant,Dell,,4,500,90 000 F Cfa
Venant,Microsoft Surface,Intel core i5,8gb,128gb,265 000 F Cfa
Venant,Apple,Core i5,8Go,256Go,200 000 F Cfa
Venant,HP,Intel core m5,16,256,180 000 F Cfa
Neuf,Dell,CORE I5,16 GO,512 SSD,398 999 F Cfa
Venant,Lenovo,CORE i5 ✅,8 GO ✅,128 Go SSD✅-,100 000 F Cfa
Neuf,Apple,M3,8,512,1 400 000 F Cfa
Réconditionné,HP,Intel core i5,8giga,500giga,149 900 F Cfa
Réconditionné,Lenovo,Intel dual core,4giga,320giga,80 000 F Cfa
Réconditionné,HP,Intel dual core,4giga,320giga,90 000 F Cfa
D'occasion,HP,,,,220 000 F Cfa
Venant,Dell,Core i5,8,SSD 256,149 900 F Cfa
Réconditionné,Dell,Intel core i5,8giga,SSD 256giga,165 000 F Cfa
Neuf,HP,,8go,,95 000 F Cfa
Venant,ASUS,Core 2,4,500,100 000 F Cfa
Neuf,ASUS,I5,8 go,128ssd+500go,250 000 F Cfa
Venant,Lenovo,Intel core i7,16,256,260 000 F Cfa
Réconditionné,HP,CORE I5,8GO,256 GO SSD,150 000 F Cfa
Venant,HP,A8 Pro,8Go ram,256Go SSD,140 000 F Cfa
Venant,Lenovo,Intel,8,256,180 000 F Cfa
Venant,HP,A8 Pro,16Go,256Go SSD,150 000 F Cfa
Neuf,ASUS,I9,16,1tb,680 000 F Cfa
Neuf,Microsoft Surface,Intel Core i7 de 10ème génération,16Go,512Go,390 000 F Cfa
Venant,Apple,I7,16,512,475 000 F Cfa
Neuf,Apple,M2,8,256,980 000 F Cfa
Venant,Apple,M1,16,256,495 000 F Cfa
Neuf,MSI,,,,950 000 F Cfa
Venant,HP,Amd,8,256,125 000 F Cfa
Venant,Lenovo,Intel,16,256,175 000 F Cfa
Venant,Microsoft Surface,ICOR 5 / 2.40GHZ,16G,256SSD,280 000 F Cfa
Neuf,HP,Intel Celeron N4120 (1.10GHz (4CPUs),4G,1T SATA,237 500 F Cfa
Neuf,,,,,50 000 F Cfa
Venant,Apple,I5,16,256,450 000 F Cfa
Neuf,,Core I5 12500H,16Go,512Go SSD,850 000 F Cfa
Venant,HP,i5,8,256,145 000 F Cfa
Neuf,HP,Corei7,16,512Giga Ssd,285 000 F Cfa
Neuf,Lenovo,i5,16,512,375 000 F Cfa
Venant,HP,Ryzen 5,8,512,250 000 F Cfa
Venant,HP,,,,220 000 F Cfa
Neuf,Lenovo,Icore5,8GB,256GB,175 000 F Cfa
Neuf,Lenovo,Icore7,8GB,256GB,225 000 F Cfa
Venant,Lenovo,Duo core,4,128 go ssd,90 000 F Cfa
Venant,Lenovo,,,,85 000 F Cfa
Venant,Microsoft Surface,Intel,4,128,100 000 F Cfa
Neuf,Lenovo,Ryzen 5pro,16,256Ssd,235 000 F Cfa
Neuf,HP,Ryzen 5pro,16,256Ssd,315 000 F Cfa
Venant,Apple,Intel core i6,16,1to ssd,430 000 F Cfa
Venant,HP,,,,95 000 F Cfa
Venant,Apple,Intel core i7,16,256,420 000 F Cfa
Venant,HP,cor i5,8go,500 Go,125 000 F Cfa
Neuf,Microsoft Surface,i5,8,128,349 000 F Cfa
Venant,Apple,1.6Ghz,4go,128go,160 000 F Cfa
Neuf,Acer,I7,12 go,512 ssd,500 000 F Cfa
Neuf,HP,i7,16Go,512 SSD,500 000 F Cfa
Neuf,HP,Ryzen 5,16,256Giga ssd,315 000 F Cfa
Neuf,Apple,I3,8 go,256 ssd,400 000 F Cfa
Venant,Dell,Intel core i5,8,256,165 000 F Cfa
Venant,HP,Core i7,16,1000 go,389 900 F Cfa
Venant,HP,Core i5,8,500,139 900 F Cfa
Neuf,ASUS,Ryzen 9-6800H,16GB,SSD 1TB,750 000 F Cfa
Neuf,HP,Corei7,16,512Giga Ssd,700 000 F Cfa
Neuf,Lenovo,i7,16Go,512 SSD,650 000 F Cfa
D'occasion,Apple,2.9,16go,512ssd,450 000 F Cfa
Neuf,Lenovo,Corei7,16,512Giga Ssd,320 000 F Cfa
Neuf,HP,Ryzen 5,16,256 Ssd,315 000 F Cfa
D'occasion,Apple,I5,8,256,175 000 F Cfa
Venant,HP,1.80Ghz,16go,512ssd,350 000 F Cfa
Neuf,HP,Corei7,16,512Giga Ssd,280 000 F Cfa
Neuf,Lenovo,Corei7,16,512Giga Ssd,320 000 F Cfa
Neuf,MSI,i7,16,1TB,799 000 F Cfa
Neuf,Lenovo,Corei7,16,512ssd,280 000 F Cfa
Venant,Lenovo,CORE i5 ✅,16 GO ✅,500 GO SSD ✅,350 000 F Cfa
Venant,Acer,CORE i5 ✅,16 GO ✅,256 GO SSD ✅,330 000 F Cfa
Neuf,Lenovo,i5,8go,256,130 000 F Cfa
Venant,Lenovo,i5,8go,256go ssd,150 000 F Cfa
Venant,Lenovo,I5,16,256,
Neuf,HP,icore5 Intel,8GB,256GB SSD,175 000 F Cfa
Neuf,Apple,M2,8GB,256GB,799 000 F Cfa
Neuf,Apple,M3,8,256,849 000 F Cfa
D'occasion,Apple,,16,256,750 000 F Cfa
D'occasion,Apple,,,,150 000 F Cfa
Venant,Apple,I5,8,256,
Venant,Lenovo,I5`,8,128,
Neuf,Apple,,,256,700 000 F Cfa
Neuf,HP,i7,16Go,512 SSD,450 000 F Cfa
Venant,HP,I7,16,512,300 000 F Cfa
Venant,HP,Core i5 11ème génération,8Go,256Go SSD,395 000 F Cfa
Neuf,Apple,M3 8C CPU 8C GPU,8GB,256GB,890 000 F Cfa
Venant,Dell,i7,16,512,330 000 F Cfa
Venant,Apple,I7,16,512,450 000 F Cfa
Venant,Apple,M1,8,256,450 000 F Cfa
Venant,Apple,i5,8,512,200 000 F Cfa
Venant,Apple,Core i5,16Go,512Go SSD,350 000 F Cfa
Neuf,Apple,m3,8,256,800 000 F Cfa
Venant,Apple,Intel Core i5 - Intel Core i7,8Go - 16Go,250Go / 500Go,335 000 F Cfa
Venant,Lenovo,2.50,8,128,145 000 F Cfa
Neuf,HP,2.6,8,500,165 000 F Cfa
Venant,HP,"AMD Ryzen 5 3450U (2.1 GHz base clock, up to 3.5 GHz max boost clock)",16 go DDR4,512 Go SSD M2,200 000 F Cfa
Neuf,HP,2.8,8,750,175 000 F Cfa
Venant,Lenovo,Intel Core i5 10210U 10th génération,8 GO DDR4,256 GB SSD NVMe,250 000 F Cfa
Venant,Dell,Intel Core i7-8565U de 8ème génération,8 GO DDR4,256 SSD M2,230 000 F Cfa
Neuf,Apple,M1,16,512,525 000 F Cfa
Neuf,Lenovo,I7,32,512,350 000 F Cfa
Neuf,Lenovo,I5,16,512,285 000 F Cfa
Venant,HP,i7,16,512,425 000 F Cfa
Venant,HP,i7,32,256,450 000 F Cfa
Venant,Apple,M5,8,512,300 000 F Cfa
Venant,Microsoft Surface,I5,8,512,350 000 F Cfa
Venant,Microsoft Surface,i5,16,256,330 000 F Cfa
Neuf,HP,i7,16GB,1TB SSD,680 000 F Cfa
Neuf,HP,i7,16Go,512 SSD,800 000 F Cfa
Neuf,HP,i7,16Go,512 SSD,800 000 F Cfa
Venant,Apple,M1,16,2000,625 000 F Cfa
Neuf,Apple,M2,8,256,625 000 F Cfa
Neuf,HP,I7,16,512,390 000 F Cfa
Neuf,Lenovo,Ryzen 7 pro,16,512,290 000 F Cfa
Venant,Microsoft Surface,I7,16,256,
Venant,Microsoft Surface,I5,8,256,
Venant,Dell,i5,16Go,256Go,310 000 F Cfa
Venant,Dell,2.50,8,1000,100 000 F Cfa
Neuf,Microsoft Surface,I5,16,256,
Neuf,ASUS,I7 12700h 14CORES,16GB option 32GB,SSD 512GB Gen4 Option 1TB,900 000 F Cfa
Neuf,Apple,I9,16,1000,650 000 F Cfa
Neuf,HP,Ryzen 9,64go,1tbssd,600 000 F Cfa
Venant,Apple,i5,4,500,140 000 F Cfa
Neuf,HP,i5,16,512,699 000 F Cfa
Venant,Apple,Core i5,8giga,500giga,149 900 F Cfa
Neuf,MSI,i7-13620H,16GB,512 Go,785 000 F Cfa
Neuf,MSI,i7-13620H,16GB,SSD 1TB,850 000 F Cfa
Neuf,ASUS,i7-13620H,16GB,SSD 1TB,985 000 F Cfa
Venant,Lenovo,i9-12900HX,64GB DDR5,,1 750 000 F Cfa
Venant,Apple,M2pro,16go,512go,1 250 000 F Cfa
Neuf,Apple,M3,8,256GB,850 000 F Cfa
Neuf,Lenovo,i5,8,512,349 000 F Cfa
Neuf,HP,,16GB,256GB SSD,199 900 F Cfa
Venant,HP,cor i5,8 Go,256 Go SSD,150 000 F Cfa
Neuf,HP,Dual core,,1 To,199 000 F Cfa
Neuf,HP,,,,155 000 F Cfa
Neuf,Lenovo,Ryzen 7,16,512,265 000 F Cfa
Neuf,Dell,I5,8,256,210 000 F Cfa
Venant,ASUS,Core i7,16Go,1256Go,290 000 F Cfa
Venant,Apple,Core i5,8Go,256Go,250 000 F Cfa
Neuf,Lenovo,Ryzen 7,16,512,290 000 F Cfa
Venant,Lenovo,I5,8,256,145 000 F Cfa
Venant,Apple,I7,16,512,430 000 F Cfa
Venant,HP,,,,125 000 F Cfa
Neuf,Apple,Apple Puce M3,8Go,256 SSD,1 100 000 F Cfa
Venant,Apple,I7,16,512,430 000 F Cfa
Venant,Lenovo,I5,8,256,210 000 F Cfa
Venant,HP,I5,8,256,290 000 F Cfa
Venant,Dell,I7,16,512,275 000 F Cfa
Neuf,Dell,I5,8,256,210 000 F Cfa
Venant,HP,I5,8,256,275 000 F Cfa
Venant,HP,Core i3,4g,500g,60 000 F Cfa
Neuf,Acer,Core i9,16Gb,1T ssd,1 300 000 F Cfa
Venant,Dell,Core i7 7th Génération,16Go,512Go SSD,200 000 F Cfa
Venant,Dell,Core i7 6é génération,16Go ram ddr4,256Go SSD,150 000 F Cfa
Venant,HP,A10,16Go,500Go,125 000 F Cfa
Venant,HP,Core i7 7é génération,8Go,256Go SSD,250 000 F Cfa
Venant,Dell,Core i5 8é génération,16Go,256Go SSD,165 000 F Cfa
Venant,Dell,Core i5 6é génération,12Go ram DDR4,256Go SSD,135 000 F Cfa
Venant,Dell,Core i5 7th Génération,16Go ram,256Go SSD,150 000 F Cfa
Venant,HP,i7,8 Go,256 Go ssd,175 000 F Cfa
Venant,Lenovo,i5 6th,8,128 go ssd,145 000 F Cfa
Venant,Dell,,,,285 000 F Cfa
Venant,Apple,I7,16,512,275 000 F Cfa
Venant,Apple,M1,8,512,550 000 F Cfa
D'occasion,Apple,M1,8,256,450 000 F Cfa
Neuf,Apple,M2,24,1TO,700 000 F Cfa
Neuf,HP,core i7 11th gen,16GB,1t ssd,950 000 F Cfa
Venant,Apple,M2 Pro,16GB,512gGB,990 000 F Cfa
Venant,Apple,i9,16,512,500 000 F Cfa
Venant,Apple,i7,16,512,475 000 F Cfa
Venant,Apple,Corei7,16,512,470 000 F Cfa
Venant,HP,Core i5 6th Gen,16Go DDR4,128Go ssd + 500Go HDD,150 000 F Cfa
Neuf,HP,Corei7,16,512ssd,280 000 F Cfa
Neuf,Lenovo,Ryzen 7 pro,16,512,265 000 F Cfa
Neuf,HP,I5,16GB,512GB,650 000 F Cfa
