prix,etat,marque,couleur,dimension_ecran,ram,stockage
309 000 F Cfa,Venant,iPhone,gold silver green white GREY,6.5 Pouces,4GO,64g
610 000 F Cfa,Neuf,Samsung,Noir,,12,256
180 000 F Cfa,Neuf,iPhone,Mix,,,128go
290 000 F Cfa,Neuf,iPhone,,,,64
60 000 F Cfa,Venant,Tecno,,,,
185 000 F Cfa,Venant,Samsung,Gris noir,6.0 Pouces,12go,256go
84 000 F Cfa,Neuf,Tecno,Plusieurs,6.0 Pouces,2,64
144 000 F Cfa,Neuf,Tecno,Noir,6.0 Pouces,6,128
89 000 F Cfa,Neuf,Tecno,Plusieurs,5.0 Pouces,4,128go
230 000 F Cfa,Neuf,Huawei,Toute les couleur disponible,6.5 Pouces,8gb,128gb
45 000 F Cfa,Venant,Autres,Gold rose,5.5 Pouces,4go,64go
100 000 F Cfa,Neuf,Tecno,"Noire, Blanc",6.8 Pouces,8,128
110 000 F Cfa,Neuf,Tecno,"Noir, Blanc",6.8 Pouces,8,256
250 000 F Cfa,Neuf,iPhone,Différents,6.1 Pouces,4,128
280 000 F Cfa,Neuf,iPhone,Rouge noir blanc jaune,,4Go,128
100 000 F Cfa,Neuf,Huawei,,,,128
145 000 F Cfa,Neuf,Samsung,Noir bleu peach,6.6 Pouces,4,128go
125 000 F Cfa,Neuf,Tecno,Blanc bleu noir,6.6 Pouces,8,256
79 900 F Cfa,Venant,Samsung,,,,
180 000 F Cfa,Venant,Samsung,,,,128 go
130 000 F Cfa,Neuf,Tecno,,,8GO,256GO
175 F Cfa,Venant,Xiaomi,Nior,6.7 Pouces,8,128GB
145 000 F Cfa,Neuf,Huawei,Vert noir blanc,6.6 Pouces,6go,128go
39 000 F Cfa,Neuf,Oppo,Gold,6.0 Pouces,4,64
650 000 F Cfa,Neuf,iPhone,red,,,256go
650 000 F Cfa,Neuf,iPhone,Midnight,,,256 Go
480 000 F Cfa,Neuf,iPhone,red,,,128 Go
480 000 F Cfa,Neuf,iPhone,Blue,,,128go
250 000 F Cfa,Venant,iPhone,"White, Midnight",,,256 Go
230 000 F Cfa,Venant,iPhone,Purple,,,64 Go
90 000 F Cfa,Venant,Samsung,Noir bleu,6.5 Pouces,4go,128go
180 000 F Cfa,Venant,Samsung,Noir mauve gris,6.5 Pouces,8go,128go
195 000 F Cfa,Neuf,Samsung,,6.6 Pouces,6Go,128Go
150 000 F Cfa,Venant,Oppo,Nior,6.4 Pouces,8,128GB
565 000 F Cfa,Venant,iPhone,Mauve Gold,6.1 Pouces,,128GB
85 000 F Cfa,Neuf,Tecno,Noire,6.6 Pouces,8,128
325 000 F Cfa,Neuf,Google,Black,6.3 Pouces,8 Go,
380 F Cfa,Venant,OnePlus,Vers,6.7 Pouces,12,256
145 000 F Cfa,Neuf,Tecno,"Noire, Bleu",6.7 Pouces,8,256
725 000 F Cfa,Neuf,iPhone,Multiples,6.1 Pouces,6 Go,256 Go
